id;dart;x;y;z
517;0x600001e63dc0;-0.430519;-0.216506;-1.03936
518;0x600001e599c0;-0.694184;-0.216506;-0.532666
519;0x600001e56dc0;-0.649519;-0;0.375
520;0x600001e6cfc0;0.130526;0.25;-0.991445
521;0x600001e52dc0;-1.11538;-0.216506;0.146842
522;0x600001e3d1c0;0.694184;0.216506;0.532666
523;0x600001e71fc0;1.1239;-0.125;-0.465537
524;0x600001e5bfc0;-0.92388;0.25;-0.382683
525;0x600001e5bbc0;-1.1239;0.125;-0.465537
526;0x600001e66dc0;-0.684857;-0.216506;-0.892522
527;0x600001e3f1c0;0.757772;-0.216506;0.4375
528;0x600001e6c5c0;0.291171;-0.216506;-1.08667
529;0x600001e70780;1.20741;0;-0.323524
530;0x600001e553c0;-0.723854;0.125;0.29983
531;0x600001e60fc0;-0.158786;-0.125;-1.2061
532;0x600001e6f5c0;0;-0.216506;-1.125
533;0x600001e33e80;1.21651;-0.125;-0
534;0x600001e719c0;0.808395;-0.216506;-0.334848
535;0x600001e71f80;1.15485;0;-0.478354
536;0x600001e47dc0;0.430519;-0.216506;1.03936
537;0x600001e56bc0;-0.678525;0.125;0.391747
538;0x600001e7e1c0;0.867514;0.216506;-0.11421
539;0x600001e7ebc0;0.991445;-0.25;-0.130526
540;0x600001e333c0;0.776791;0.125;0.102266
541;0x600001e58fc0;-0.793353;0.25;-0.608761
542;0x600001e753c0;0.8602;0.125;-0.8602
543;0x600001e3ffc0;0.923879;0.25;0.382684
544;0x600001e497c0;-0.707107;0.25;0.707107
545;0x600001e3df80;0.991692;-0;0.760952
546;0x600001e5fbc0;-0.991445;-0.25;-0.130526
547;0x600001e7edc0;1.11538;-0.216506;-0.146842
548;0x600001e661c0;-0.532666;0.216506;-0.694184
549;0x600001e4d5c0;-0.5625;-0.216506;0.974279
550;0x600001e479c0;0.334848;-0.216506;0.808394
551;0x600001e6afc0;0.465537;-0.125;-1.1239
552;0x600001e61bc0;-0.202783;0.125;-0.756797
553;0x600001e7e5c0;0.743584;0;-0.097895
554;0x600001e725c0;0.974279;0.216506;-0.5625
555;0x600001e38bc0;0.391747;0.125;0.678525
556;0x600001e7e3c0;0.776791;0.125;-0.102266
557;0x600001e455c0;0.291171;0.216506;1.08667
558;0x600001e5b780;-1.08253;0;-0.625
559;0x600001e6cdc0;0.146842;0.216506;-1.11538
560;0x600001e57fc0;-0.793353;0.25;0.608761
561;0x600001e33880;0.875;-0.216506;-0
562;0x600001e543c0;-0.965926;-0.25;0.258819
563;0x600001e73780;1.08253;0;-0.625
564;0x600001e701c0;0.845185;-0.216506;-0.226467
565;0x600001e41bc0;-0.130527;-0.25;0.991445
566;0x600001e745c0;0.595015;0;-0.456571
567;0x600001e47f80;0.478355;-0;1.15485
568;0x600001e40780;-0.323524;-0;1.20741
569;0x600001e7e9c0;0.867514;-0.216506;-0.11421
570;0x600001e4cfc0;-0.391747;-0.125;0.678525
571;0x600001e499c0;-0.618719;0.216506;0.618718
572;0x600001e6f3c0;0;-0.25;-1
573;0x600001e473c0;0.29983;0.125;0.723854
574;0x600001e75dc0;0.53033;0;-0.53033
575;0x600001e633c0;-0.29983;0.125;-0.723854
